Yield (kg/ha)
4514.79
4996.21
6261.69
5591.57
5563.98
4436.44
5937.73
3599.66
4672.48
5374.78
3796.59
4537.66
3646.27
4003.8
2777.61
4417.99
5086.8
4065.32
5288.9
3609.25
4139.5
4715.89
6268.91
4059.72
5745.94
4453.49
4989.29
3600.96
3225.3
3108.94
3342.6
3494.59
4319.47
4616.61
5518.68
5359.94
4865.98
3776.61
4004.91
3853.35
4706.41
4425.92
5683.19
3582.04
3996.23
3628.02
5071.19
4435.8
5674.93
3809.05
4334.63
4271.38
4108.23
4765.16
4874.65
2648.81
4387.69
4767.87
5855.36
5284.58
4946.29
3198.09
4165.37
4983.79
5071.04
4347.03
4629.09
4851.63
3155.5
4823.68
5534.66
5867.94
3401.83
6173.91
4673.36
4437.72
3789.04
3789.61
5207.94
3922.34
3698.05
3376.19
3453.62
3523.59
3863.37
3898.99
4652.52
4827.36
4905.28
4279.42
5502.63
4500.34
4100.68
3911.28
4412.45
4769.21
3853.42
3612.38
5064.7
5211.68
4163.46
3136.25
3559.06
3324.82
6014.65
3902.69
3817.1
5175.08
3801.77
3861.31
3033.4
3991.73
3781.46
4819.41
3911.47
3792.87
4274.67
5547.4
5796.99
5682.33
4934.71
4914.63
5338.2
4604.64
4704.02
5924.89
4582.76
4308.59
5661.2
5136.14
3228.11
4428.54
5491.55
4458.86
5048.85
3948.26
5029.9
4584.84
3553.28
4034.14
6982.78
3909.2
4654.05
4437.55
4800.94
4698.67
3523.14
4181.62
4161.01
3867.94
4154.15
4811.67
3367.05
3341.69
6568.65
3844.06
4118.81
4144.75
3402.82
5900.49
4943.01
4383.38
5347.19
4535.83
4695.99
4379.96
5754.24
4510.13
4978.04
3109.68
3133.71
3653.9
4775.52
4923.81
4519.91
5294.38
4505.8
3720.54
4853.63
5980.44
5124.06
3372.77
3274.66
3747.15
3634.69
3747.67
4568.55
4975.31
5458.33
4286.02
2775.13
3767.61
3973.03
4768.23
4914.16
5870.39
4942.45
6564.64
5762.55
5165.89
4476.42
3996.93
5010.31
5032.17
5309.39
3849.27
5703.16
4523.54
3907.83
6970.5
5310.9
3498.44
5929.98
4218.21
4789.36
3903.12
4552.37
4113.92
3910.77
6140.01
3772.21
3479.92
4665.98
4314.63
4094.15
4067.93
5121.63
3301.08
3184.05
5109.63
4443.22
3490.34
3977.49
4341.76
4842.78
5532.63
5176.84
4285.56
3514.96
5040.01
5094.82
4701.27
4312.29
4048.8
5170.47
2936.7
3514.79
4411.99
4337.36
5321.38
5040.87
4857.39
4540.2
5960.88
3322.78
3951.88
4341.4
4713.15
6280.86
3478.38
4585.74
5537.28
4530.99
3326.19
3647.32
4130.1
5045.52
5097.92
5926.51
5400.89
5555.78
2848.2
4148.69
4072.96
3692.44
4028.75
4671.36
4458.44
5669.88
4298.14
4055.99
4563.37
5966.98
4446.42
5452.8
4845.25
6011.38
4614.57
4408.77
5290.27
4103.87
5561.84
4327.57
3670.43
5527.01
3309.35
5671.13
4978.01
4841.41
3442.57
4950.67
5849.79
4658.31
4220.78
3551.74
4745.34
4686.46
4297.95
3988.5
3666.96
4162.13
3761.74
3882.31
5675.93
5587.75
5521.94
4567.67
4302.02
4351.54
5581.33
3470.55
3471.62
3822.17
5391.82
3520.16
4414.37
4550.99
5003.01
4687.53
4952.92
3350.13
2903.29
4995.95
4598.57
3873.15
5137.41
5287.16
5016.63
5205.69
4203.21
3657.75
3166.26
6451.04
5392.89
6107.28
4182.58
4128.68
5043.66
4466.98
3392.95
5665.86
5989.21
6044.37
4496.43
3635.98
5685.15
4886.96
3465.14
3475.06
4124.54
4135.16
5057.1
5318.15
3940.01
5500.19
5022.83
4552.66
4931.93
5178.17
5427.96
4002.65
3940.97
6013.36
4149.51
6266.61
4948.76
3605.19
5475.6
4508.98
4475.88
4306.9
3596.98
5333.73
4783.47
3808.15
3792.73
4938.36
5769.46
4885.31
4693.03
5139.36
5211.88
4383.21
5980.05
4360.95
4702.28
3135.89
5402.42
4247.19
4220.11
2849.59
2715.69
4563.16
4009.36
3408.71
4969.66
4574.92
5035.07
4914.72
4646.11
4588.34
4026.22
3741.98
3407.45
5751.87
4514.38
3904.36
4249.31
3591.96
5313.81
5238.58
5362.42
3952.26
3856.31
3691.84
5551.57
4638.27
5045.01
5023.59
5217.63
5185.32
3546.27
5392.73
4792.08
3702.36
3950.19
4335.63
3677.65
4658.41
5213.38
3879.94
5544.21
3622.88
3788.61
4652.78
5206.75
3960.78
4909.92
3878.01
3943.12
5195.93
3767.94
3494.63
4003.08
4158.41
4860.33
4942.91
3277.8
3496.53
4419.26
4132.87
5130.48
5177.72
3663.71
3493.08
3607.23
4999.99
4917.08
4592.28
4605.28
5159.61
3538.73
5237.51
4910.3
6153.16
4547.6
5963.34
5242.19
4982.89
4398.97
4649.03
5434.07
3232.81
5749.84
4956.16
3597.54
5019.44
3636.58
5276.15
5052.34
5081.31
4989.78
4177.91
4044.07
4998.19
4847.77
4152.45
4709.5
3305.44
5326.24
4215.85
4328.22
4836.08
5570.68
5629.96
4935.97
4963.36
4698.37
4467.88
4294.83
4829.92
5837.02
4136.28
4561.48
5309.0
6140.2
5302.03
4931.65
6330.98
3753.44
5558.05
4357.82
4873.39
6090.7
4428.82
3534.21
3880.69
4295.21
3312.48
4014.75
3933.06
4170.52
3999.94
2809.36
2861.86
3187.97
2735.4
4500.37
3287.32
4311.21
4403.53
3352.61
3236.07
5177.29
4011.3
5155.13
5831.08
5039.96
4984.33
5104.62
4836.34
4925.09
4279.82
6070.04
4030.55
4277.7
4811.65
3068.93
3639.68
3149.36
4051.35
6533.35
3656.23
4824.55
4826.03
5186.39
3059.6
4480.85
3508.42
4729.15
3665.04
3628.39
3796.9
4339.79
3624.83
3223.94
5207.96
6444.32
2967.12
3417.57
5818.05
3956.38
4022.82
4511.16
3970.29
4793.5
5343.94
4531.63
4222.22
4084.84
5183.91
4603.08
5680.53
6389.7
4965.3
4240.32
4438.2
4662.63
5451.74
4123.57
4397.75
4202.28
4665.76
4425.27
4267.19
4972.07
4455.5
4612.64
3252.41
4563.79
5046.48
